bikes,docks,day,month,minute,status
1,19,5,12,120,docks
12,9,3,1,990,both
2,18,5,12,330,docks
4,12,2,12,220,docks
5,15,5,12,390,both
0,20,4,1,140,docks
1,20,5,1,360,docks
1,19,5,12,260,docks
14,6,4,12,780,both
11,7,6,12,1420,both
11,9,4,12,740,both
16,5,4,1,1090,both
0,15,2,12,1170,docks
2,19,3,1,340,docks
0,21,3,1,30,docks
1,16,0,12,1150,docks
5,15,5,12,360,both
10,11,3,1,570,both
8,10,0,12,1060,both
1,17,0,12,780,docks
17,4,3,1,760,bikes
16,5,3,1,730,both
19,2,4,1,880,bikes
2,17,4,1,520,docks
1,19,4,12,1250,docks
12,9,3,1,590,both
12,6,0,12,530,both
0,20,4,1,210,docks
0,21,2,1,1360,docks
10,7,3,12,930,both
0,15,2,12,1250,docks
0,20,3,1,1320,docks
11,7,0,12,40,both
11,9,4,12,550,both
5,11,1,12,930,both
1,19,4,1,300,docks
9,8,3,12,1060,both
5,15,4,12,320,both
0,20,4,1,270,docks
5,15,4,12,240,both
2,19,4,1,1250,docks
7,11,6,12,1340,both
12,9,3,1,940,both
7,8,3,12,390,both
3,13,1,12,780,docks
1,19,5,12,180,docks
0,21,5,1,320,docks
6,14,3,1,390,both
0,16,0,12,1300,docks
0,15,2,12,1110,docks
0,21,5,1,50,docks
11,6,3,12,870,both
1,19,5,12,230,docks
0,20,3,1,1330,docks
13,7,4,12,660,both
7,10,3,12,1170,both
6,14,4,12,420,both
4,11,3,12,160,docks
1,19,3,1,1310,docks
0,21,4,1,1420,docks
0,15,2,12,1090,docks
11,7,6,12,1263,both
0,16,0,12,1320,docks
0,16,1,12,260,docks
0,22,2,1,1070,docks
0,21,5,1,170,docks
7,13,5,12,560,both
17,4,4,1,1060,bikes
4,12,2,12,480,docks
17,3,5,1,640,bikes
1,19,4,1,40,docks
17,4,4,1,750,bikes
19,2,4,1,710,bikes
0,21,5,1,60,docks
11,7,0,12,320,both
6,14,4,12,1090,both
13,5,0,12,480,both
5,15,4,12,280,both
7,8,3,12,740,both
2,18,5,12,310,docks
0,16,1,12,100,docks
6,10,1,12,1270,both
1,19,4,1,0,docks
11,7,0,12,150,both
10,10,4,12,610,both
9,11,4,12,930,both
6,9,3,12,780,both
6,14,3,1,440,both
5,11,2,12,510,both
15,7,2,1,970,both
0,21,2,1,1350,docks
5,15,4,12,1080,both
5,15,5,12,380,both
8,12,5,12,620,both
4,12,2,12,250,docks
4,12,1,12,980,docks
12,5,3,12,850,both
0,15,2,12,1060,docks
14,8,2,1,890,both
6,9,3,12,790,both
2,19,3,1,1220,docks
12,3,3,12,680,bikes
5,15,4,12,110,both
9,8,3,12,1050,both
3,12,2,12,840,docks
0,16,1,12,130,docks
0,21,5,1,110,docks
6,14,4,12,1120,both
7,14,2,1,1110,both
1,19,4,12,1320,docks
0,21,5,1,80,docks
5,15,4,12,270,both
2,19,3,1,1270,docks
10,10,4,12,600,both
3,12,2,12,1360,docks
7,8,3,12,410,both
4,11,3,12,120,docks
4,11,3,12,20,docks
1,15,1,12,840,docks
11,7,0,12,180,both
16,3,4,1,570,bikes
17,4,3,1,650,bikes
20,2,2,1,1000,bikes
12,3,3,12,670,bikes
4,12,1,12,1420,docks
4,11,3,12,180,docks
1,20,5,1,330,docks
4,18,2,1,1060,docks
9,12,3,1,970,both
7,11,6,12,1310,both
11,9,4,12,540,both
1,21,2,1,1050,docks
8,12,3,1,420,both
4,12,2,12,380,docks
7,8,3,12,380,both
1,19,4,12,1290,docks
0,16,0,12,1240,docks
2,18,5,12,280,docks
0,21,2,1,1300,docks
4,11,3,12,260,docks
8,12,4,1,420,both
2,15,0,12,1090,docks
3,13,1,12,790,docks
12,3,3,12,690,bikes
1,19,5,12,110,docks
4,12,1,12,640,docks
4,11,3,12,110,docks
11,7,0,12,0,both
0,21,5,1,310,docks
0,21,5,1,250,docks
12,5,3,12,860,both
12,5,3,12,840,both
4,12,2,12,330,docks
4,12,1,12,1370,docks
1,19,4,12,1340,docks
1,15,0,12,1270,docks
4,12,2,12,190,docks
4,12,2,12,130,docks
0,16,0,12,1310,docks
4,14,0,12,880,docks
5,15,4,12,60,both
1,19,5,12,630,docks
5,15,3,12,1430,both
0,21,2,1,1120,docks
4,11,2,12,1430,docks
5,10,3,12,750,both
6,12,0,12,960,both
0,21,2,1,1370,docks
2,18,4,1,340,docks
8,7,3,12,490,both
0,20,4,1,240,docks
0,21,5,1,70,docks
0,21,2,1,1290,docks
5,15,4,12,120,both
9,10,4,1,530,both
0,21,2,1,1160,docks
0,21,2,1,1180,docks
0,18,0,12,770,docks
0,15,2,12,1220,docks
6,10,1,12,1200,both
5,15,3,1,470,both
6,14,5,12,430,both
4,12,2,12,20,docks
11,7,0,12,30,both
5,11,1,12,690,both
10,10,4,12,620,both
3,12,2,12,1300,docks
2,18,4,12,1210,docks
4,12,1,12,1340,docks
12,6,0,12,550,both
11,10,3,1,950,both
10,8,0,12,440,both
1,19,4,1,50,docks
1,16,0,12,1080,docks
12,9,3,1,890,both
9,9,6,12,1300,both
0,18,0,12,840,docks
0,21,3,1,1160,docks
16,5,4,1,1040,both
0,16,1,12,220,docks
1,19,5,12,150,docks
0,21,4,1,1130,docks
10,11,3,1,910,both
11,7,6,12,1410,both
7,13,5,12,610,both
1,14,2,12,720,docks
2,19,4,1,1210,docks
8,10,0,12,900,both
5,15,3,12,1310,both
7,10,3,12,1100,both
1,19,3,1,1410,docks
6,10,1,12,1170,both
2,19,4,1,1260,docks
11,9,4,12,720,both
1,14,2,12,890,docks
6,10,1,12,1060,both
1,19,5,12,240,docks
4,12,2,12,290,docks
11,7,0,12,60,both
3,12,2,12,940,docks
5,15,5,12,410,both
13,9,2,1,900,both
3,18,5,1,400,docks
6,10,1,12,1070,both
16,4,5,1,670,bikes
5,15,3,12,1400,both
7,10,3,12,1150,both
11,10,3,1,1040,both
1,15,0,12,1350,docks
18,1,4,1,580,bikes
2,19,4,1,1270,docks
7,10,3,12,1130,both
14,7,3,1,870,both
2,19,4,1,1230,docks
0,21,2,1,1420,docks
18,3,4,1,920,bikes
1,15,0,12,1250,docks
20,2,2,1,990,bikes
12,9,3,1,610,both
15,4,4,1,590,bikes
7,10,3,12,1110,both
6,14,5,12,440,both
14,7,3,1,830,both
0,21,2,1,1170,docks
6,15,5,1,410,both
0,21,4,1,1410,docks
0,16,1,12,460,docks
20,1,4,1,820,bikes
5,15,4,12,350,both
0,16,1,12,490,docks
0,21,5,1,300,docks
19,2,4,1,830,bikes
5,10,3,12,350,both
4,11,3,12,170,docks
12,9,3,1,1050,both
0,20,3,1,1350,docks
4,12,2,12,320,docks
11,7,6,12,1430,both
4,12,2,12,40,docks
1,19,4,12,1420,docks
7,8,3,12,420,both
0,18,0,12,1050,docks
1,14,2,12,860,docks
11,7,6,12,1255,both
6,10,1,12,1020,both
4,12,2,12,310,docks
0,16,1,12,0,docks
5,11,2,12,520,both
9,8,3,12,900,both
9,8,3,12,920,both
4,14,0,12,790,docks
10,11,3,1,560,both
5,10,2,12,660,both
16,5,3,1,660,both
2,19,3,1,1260,docks
0,17,0,12,1140,docks
6,15,3,1,1080,both
0,21,3,1,40,docks
14,7,3,1,620,both
11,10,3,1,900,both
0,15,2,12,1160,docks
4,12,2,12,300,docks
1,15,1,12,870,docks
0,21,2,1,1150,docks
0,21,2,1,1230,docks
12,8,4,12,710,both
1,19,3,1,1390,docks
1,13,2,12,710,docks
0,21,4,1,1340,docks
5,15,3,12,1380,both
6,9,3,12,720,both
13,9,2,1,920,both
5,15,4,12,10,both
11,9,4,12,480,both
8,7,3,12,530,both
0,16,1,12,340,docks
1,19,5,12,140,docks
14,7,3,1,850,both
1,19,5,12,10,docks
0,16,1,12,600,docks
0,16,0,12,1380,docks
18,3,4,1,1000,bikes
5,15,4,12,290,both
11,9,4,12,920,both
2,19,4,1,1240,docks
8,12,3,1,410,both
6,10,1,12,1110,both
1,19,5,12,0,docks
11,7,0,12,360,both
4,12,1,12,660,docks
8,7,3,12,470,both
1,16,0,12,1160,docks
4,12,2,12,80,docks
6,14,4,12,460,both
4,11,3,12,220,docks
17,2,4,1,620,bikes
0,15,2,12,1240,docks
9,11,4,12,940,both
12,6,0,12,560,both
4,12,2,12,180,docks
10,8,0,12,410,both
0,16,1,12,320,docks
5,15,4,12,370,both
7,11,6,12,1350,both
0,15,2,12,750,docks
13,8,3,1,880,both
6,14,4,12,450,both
7,8,3,12,810,both
0,16,1,12,410,docks
4,12,2,12,390,docks
0,21,5,1,180,docks
5,11,1,12,1290,both
4,16,4,12,1130,docks
9,11,4,1,430,both
15,6,3,1,630,both
14,3,3,12,970,bikes
0,16,0,12,1170,docks
5,16,3,1,1200,both
16,4,5,1,600,bikes
6,14,5,12,480,both
0,21,2,1,1260,docks
16,5,3,1,770,both
19,2,4,1,810,bikes
20,1,4,1,850,bikes
0,16,1,12,500,docks
5,15,3,12,1350,both
4,11,3,12,310,docks
10,7,3,12,1070,both
10,8,0,12,420,both
19,2,4,1,800,bikes
10,8,0,12,670,both
0,16,1,12,420,docks
8,9,3,12,1080,both
17,3,5,1,630,bikes
12,8,4,12,690,both
15,6,3,1,820,both
9,12,3,1,960,both
11,9,4,12,500,both
0,21,2,1,1280,docks
18,4,2,1,980,bikes
10,8,0,12,400,both
0,21,2,1,1140,docks
5,15,4,12,1070,both
6,11,0,12,1110,both
4,16,4,1,390,docks
18,3,4,1,780,bikes
10,11,5,1,450,both
14,8,2,1,870,both
0,16,1,12,550,docks
3,15,0,12,740,docks
5,15,3,12,1420,both
1,19,4,12,1270,docks
4,12,1,12,1320,docks
16,5,3,1,800,both
1,19,3,1,1300,docks
0,16,1,12,270,docks
7,13,5,12,470,both
5,11,1,12,670,both
0,21,2,1,1210,docks
11,7,0,12,290,both
0,21,3,1,300,docks
0,16,1,12,170,docks
0,16,1,12,470,docks
2,19,3,1,1230,docks
4,11,3,12,250,docks
16,5,3,1,640,both
3,18,3,1,360,docks
8,10,6,12,1390,both
11,7,0,12,220,both
0,16,1,12,180,docks
0,21,3,1,150,docks
12,3,3,12,580,bikes
0,21,4,1,1430,docks
1,19,4,12,1330,docks
11,9,4,12,530,both
1,19,5,12,40,docks
8,12,5,1,490,both
11,4,3,12,610,bikes
8,9,3,12,1220,both
19,0,4,1,630,bikes
3,12,2,12,1310,docks
4,12,2,12,240,docks
7,13,5,12,520,both
5,15,4,1,380,both
7,11,0,12,870,both
0,21,3,1,100,docks
21,0,4,1,840,bikes
0,16,1,12,240,docks
13,9,2,1,910,both
5,15,4,12,330,both
0,21,2,1,1390,docks
1,19,5,12,20,docks
5,15,4,12,250,both
1,19,5,12,200,docks
6,14,4,12,410,both
1,20,4,1,1190,docks
17,4,4,1,770,bikes
11,9,4,12,900,both
0,21,3,1,70,docks
1,19,5,12,190,docks
2,19,5,1,390,docks
5,11,1,12,710,both
13,4,3,12,1000,bikes
7,11,0,12,920,both
19,2,4,1,790,bikes
16,5,4,1,1100,both
2,18,5,12,300,docks
2,14,0,12,1220,docks
11,7,0,12,350,both
5,15,4,12,100,both
1,19,5,12,60,docks
7,10,3,12,1210,both
0,16,1,12,60,docks
0,21,5,1,120,docks
1,19,4,12,1350,docks
3,15,0,12,1030,docks
1,19,3,1,1430,docks
3,15,0,12,710,docks
0,16,1,12,160,docks
11,7,6,12,1280,both
4,17,3,1,380,docks
1,14,2,12,900,docks
19,2,4,1,740,bikes
6,10,1,12,1130,both
0,20,4,1,180,docks
1,19,5,12,640,docks
10,7,3,12,890,both
0,16,1,12,70,docks
1,17,0,12,800,docks
1,19,5,12,250,docks
0,21,3,1,160,docks
1,19,5,12,130,docks
1,17,0,12,750,docks
19,2,4,1,860,bikes
16,2,0,12,940,bikes
15,6,3,1,680,both
4,12,1,12,1000,docks
5,15,3,12,1370,both
18,4,2,1,1010,bikes
2,13,2,12,810,docks
19,0,4,1,640,bikes
1,19,4,1,320,docks
11,7,0,12,100,both
7,8,3,12,440,both
0,21,2,1,1270,docks
5,15,4,1,400,both
9,11,5,1,500,both
11,7,0,12,170,both
5,11,1,12,680,both
1,19,5,12,80,docks
0,16,1,12,610,docks
12,6,0,12,580,both
0,21,4,1,1390,docks
1,20,4,1,1280,docks
7,11,6,12,1370,both
0,21,3,1,140,docks
7,14,3,1,1190,both
0,16,1,12,360,docks
5,11,1,12,730,both
4,11,3,12,80,docks
4,12,2,12,140,docks
0,22,2,1,1080,docks
9,9,6,12,1290,both
10,11,3,1,550,both
0,15,2,12,1140,docks
0,21,3,1,220,docks
1,15,1,12,860,docks
0,15,2,12,1190,docks
7,10,3,12,1190,both
11,9,4,12,750,both
1,19,5,12,70,docks
5,15,5,12,540,both
5,15,3,12,1320,both
0,21,3,1,200,docks
11,3,3,12,550,bikes
4,11,3,12,320,docks
0,16,1,12,350,docks
7,11,6,12,1320,both
4,11,3,12,70,docks
0,21,3,1,120,docks
1,19,4,1,60,docks
18,3,4,1,970,bikes
2,14,0,12,1200,docks
3,13,1,12,920,docks
5,15,4,12,360,both
1,15,1,12,830,docks
0,22,5,12,670,docks
4,11,3,12,50,docks
10,10,5,1,480,both
0,16,1,12,330,docks
8,9,3,12,1090,both
2,14,1,12,630,docks
0,21,3,1,250,docks
9,12,3,1,530,both
2,19,3,1,1240,docks
6,14,4,1,410,both
12,6,0,12,930,both
1,15,1,12,820,docks
0,20,4,1,130,docks
7,8,3,12,400,both
4,17,3,1,1070,docks
12,8,4,12,880,both
4,11,2,12,1410,docks
12,7,4,1,500,both
11,7,0,12,380,both
1,20,5,1,340,docks
0,16,1,12,590,docks
6,14,4,1,440,both
1,19,5,12,100,docks
3,12,2,12,1340,docks
5,12,3,12,1240,both
11,7,0,12,200,both
11,7,0,12,370,both
16,5,3,1,790,both
2,18,4,12,1200,docks
4,12,2,12,440,docks
6,14,3,1,490,both
1,19,5,12,220,docks
1,20,3,1,1290,docks
2,13,2,12,780,docks
14,7,3,1,860,both
8,7,3,12,500,both
4,12,1,12,950,docks
18,3,4,1,900,bikes
0,16,0,12,1430,docks
9,12,3,1,980,both
12,8,4,12,700,both
9,11,3,1,430,both
7,12,4,1,510,both
11,10,3,1,1060,both
18,3,4,1,930,bikes
0,16,0,12,1390,docks
0,16,1,12,110,docks
1,19,5,12,170,docks
12,2,3,12,560,bikes
1,19,4,12,1260,docks
10,10,4,12,630,both
0,20,4,1,100,docks
0,21,3,1,180,docks
0,21,5,1,10,docks
0,16,1,12,450,docks
0,21,3,1,20,docks
0,15,2,12,1080,docks
0,21,5,1,200,docks
1,19,4,12,1390,docks
15,3,0,12,630,bikes
8,7,3,12,450,both
6,14,3,1,450,both
13,5,0,12,500,both
11,7,0,12,130,both
6,9,3,12,370,both
13,4,3,12,980,bikes
0,22,5,12,690,docks
3,17,4,1,370,docks
0,21,5,1,20,docks
10,11,5,1,460,both
4,12,2,12,30,docks
12,6,0,12,540,both
16,5,3,1,670,both
0,15,2,12,1070,docks
4,11,2,12,970,docks
13,9,2,1,950,both
0,21,2,1,1310,docks
6,14,4,12,1100,both
0,20,4,1,110,docks
1,19,4,1,10,docks
9,6,3,12,510,both
19,2,4,1,730,bikes
0,16,1,12,10,docks
20,1,4,1,870,bikes
11,7,6,12,1270,both
18,3,4,1,700,bikes
0,16,1,12,520,docks
1,14,2,12,850,docks
2,19,3,1,1120,docks
0,21,3,1,290,docks
8,6,3,12,540,both
10,9,4,1,540,both
6,9,2,12,950,both
1,16,0,12,1070,docks
8,13,5,1,440,both
6,10,1,12,1240,both
5,15,4,12,300,both
10,10,4,12,470,both
5,15,3,12,1290,both
0,16,1,12,20,docks
11,7,0,12,80,both
3,13,0,12,1360,docks
5,11,2,12,530,both
11,10,3,1,920,both
1,20,3,1,1140,docks
14,7,3,1,690,both
6,10,1,12,1140,both
3,17,4,12,1170,docks
0,15,2,12,1180,docks
5,11,2,12,500,both
0,21,4,1,1160,docks
10,5,3,12,700,both
0,20,4,1,70,docks
0,16,1,12,370,docks
0,16,1,12,40,docks
3,18,3,1,350,docks
3,17,4,12,1180,docks
11,7,0,12,250,both
1,15,1,12,880,docks
4,12,2,12,460,docks
1,19,4,12,1430,docks
12,3,3,12,630,bikes
12,3,3,12,650,bikes
5,11,1,12,720,both
11,7,0,12,340,both
4,12,2,12,230,docks
11,7,0,12,270,both
1,20,3,1,330,docks
0,21,3,1,270,docks
7,11,6,12,1360,both
12,5,3,12,1020,both
9,12,5,1,430,both
1,21,5,12,680,docks
13,9,2,1,930,both
4,12,2,12,370,docks
0,18,0,12,820,docks
4,12,2,12,280,docks
8,10,6,12,1400,both
6,14,5,12,570,both
4,11,3,12,280,docks
5,15,5,12,400,both
16,4,5,1,610,bikes
0,15,2,12,740,docks
1,19,4,12,1400,docks
0,21,5,1,100,docks
8,11,4,1,560,both
4,12,1,12,1010,docks
20,1,4,1,990,bikes
11,7,0,12,10,both
6,10,1,12,1210,both
2,13,2,12,830,docks
4,11,3,12,140,docks
0,15,2,12,1200,docks
8,12,3,1,400,both
5,15,4,12,170,both
0,21,3,1,50,docks
3,13,1,12,910,docks
3,12,2,12,730,docks
4,11,3,12,330,docks
0,16,1,12,200,docks
6,10,1,12,1250,both
15,4,4,1,600,bikes
9,8,3,12,910,both
10,8,0,12,650,both
11,7,0,12,260,both
12,3,3,12,660,bikes
14,6,4,12,800,both
0,21,2,1,1200,docks
2,13,2,12,1020,docks
0,21,2,1,1330,docks
0,16,0,12,1210,docks
16,3,4,1,650,bikes
14,6,5,1,690,both
0,21,2,1,1240,docks
16,4,5,1,680,bikes
7,8,3,12,430,both
0,21,4,1,1350,docks
0,21,5,1,220,docks
0,20,4,1,150,docks
0,15,2,12,1260,docks
0,18,0,12,830,docks
14,6,4,12,760,both
0,20,4,1,260,docks
1,14,2,12,930,docks
6,15,5,1,420,both
10,5,3,12,710,both
5,15,4,12,90,both
0,21,4,1,1310,docks
10,10,4,12,640,both
1,19,4,12,1310,docks
4,16,4,12,1140,docks
5,15,4,12,50,both
1,20,4,1,1290,docks
19,2,4,1,950,bikes
0,20,4,1,230,docks
0,15,2,12,760,docks
6,9,3,12,770,both
0,15,2,12,1100,docks
4,11,2,12,590,docks
12,2,3,12,570,bikes
12,6,0,12,570,both
4,12,2,12,340,docks
10,8,0,12,460,both
1,19,4,1,310,docks
6,10,1,12,1090,both
0,16,1,12,480,docks
1,15,1,12,890,docks
2,16,0,12,1010,docks
4,12,2,12,200,docks
0,20,4,1,80,docks
21,0,4,1,980,bikes
1,19,3,1,1370,docks
7,8,3,12,520,both
2,18,4,1,330,docks
3,18,3,1,370,docks
11,7,0,12,120,both
14,7,3,1,710,both
6,14,5,12,550,both
0,17,0,12,1130,docks
11,10,3,1,1030,both
4,12,1,12,1400,docks
12,5,3,12,1030,both
10,9,5,1,720,both
12,5,3,12,880,both
6,14,3,1,480,both
5,15,4,12,40,both
1,19,4,12,1280,docks
2,13,2,12,800,docks
16,5,4,1,1080,both
4,11,2,12,1420,docks
17,3,5,1,650,bikes
2,19,3,1,1250,docks
4,14,0,12,700,docks
0,20,4,1,220,docks
7,13,4,12,1110,both
11,9,4,12,730,both
0,21,5,1,40,docks
0,16,1,12,390,docks
11,7,0,12,160,both
0,15,2,12,770,docks
0,16,0,12,1280,docks
0,16,1,12,280,docks
1,19,4,1,30,docks
5,15,4,12,190,both
2,19,4,1,1140,docks
1,19,4,1,290,docks
4,12,1,12,1390,docks
6,16,2,1,1040,both
0,21,3,1,280,docks
6,10,1,12,1100,both
